SIGNATURE : 00010001010163 02
SWT_EINTRAG : 0949 "ANFANGASWERT_DYN_BR"
SWT_EINTRAG : 0373 "ANFANGSWERT_ECKE_HINTEN"
SWT_EINTRAG : 0379 "ANFANGSWERT_ECKE_VORN"
SWT_EINTRAG : 0376 "ANFANGSWERT_MITTE_HINTEN"
SWT_EINTRAG : 037C "ANFANGSWERT_MITTE_VORN"
SWT_EINTRAG : 1212 "ANFRAGE_FENSTERPOSITIONEN"
SWT_EINTRAG : 035C "ANHAENGERKUPPLUNG"
SWT_EINTRAG : 0615 "ANHAENGERUEBERWACHUNG_RDC"
SWT_EINTRAG : 05F0 "ANHEBUNG_175_KM/H"
SWT_EINTRAG : 1500 "ANHEBUNG_FL"
SWT_EINTRAG : 0837 "ANIMATION_SCHIEBEN_1"
SWT_EINTRAG : 0838 "ANIMATION_SCHIEBEN_2"
SWT_EINTRAG : 0839 "ANIMATION_SCHIEBEN_3"
SWT_EINTRAG : 0834 "ANIMATION_SCHIEBEN_4"
SWT_EINTRAG : 1137 "ANLASSERSPERRE_P_CAN"
SWT_EINTRAG : 0178 "ANLASSERSPERRE_P_HW"
SWT_EINTRAG : 1138 "ANLASSERSPERRE_ZS"
SWT_EINTRAG : 020F "ANLASSSPERRE_NOTSTART_PN"
SWT_EINTRAG : 0BD9 "ANLAUF_AUS"
SWT_EINTRAG : 0BDD "ANLAUF_EIN"
SWT_EINTRAG : 0F6D "ANLAUFZEIT"
SWT_EINTRAG : 04BD "ANSCHLAG_LENKRADWINKEL"
SWT_EINTRAG : 10B8 "ANSCHLUSS_KLEMME"
SWT_EINTRAG : 0887 "ANST_SCHNELLH_PH_3_KI_BFH"
SWT_EINTRAG : 0899 "ANST_SCHNELLH_PH_3_KI_BFS"
SWT_EINTRAG : 08AB "ANST_SCHNELLH_PH_3_KI_FAH"
SWT_EINTRAG : 0875 "ANST_SCHNELLH_PH_3_KI_FAS"
SWT_EINTRAG : 088E "ANST_SCHNELLH_PH_3_LE_BFH"
SWT_EINTRAG : 08A0 "ANST_SCHNELLH_PH_3_LE_BFS"
SWT_EINTRAG : 08B2 "ANST_SCHNELLH_PH_3_LE_FAH"
SWT_EINTRAG : 087C "ANST_SCHNELLH_PH_3_LE_FAS"
SWT_EINTRAG : 0120 "ANSTEUERUNG_TANKKLAPPE"
SWT_EINTRAG : 0163 "ANSTEUERZEIT"
SWT_EINTRAG : 001E "ANTEIL_AQ_NEU_LERN"
SWT_EINTRAG : 1161 "ANTEIL_LEWI_NEU_LERN"
SWT_EINTRAG : 1235 "ANTENNA_DIAG_PARA"
SWT_EINTRAG : 11D7 "ANTENNENPARA"
SWT_EINTRAG : 0610 "ANTENNENSYSTEM"
SWT_EINTRAG : 1130 "ANTI_WUMMER"
SWT_EINTRAG : 0BBA "ANTIKIDNAPPING"
SWT_EINTRAG : 090D "ANTISCHUBRUCKELBAND"
SWT_EINTRAG : 08BF "ANZ_RUNIN_BITS_BT"
SWT_EINTRAG : 08B8 "ANZ_RUNIN_BITS_BTH"
SWT_EINTRAG : 08BB "ANZ_RUNIN_BITS_FT"
SWT_EINTRAG : 08BD "ANZ_RUNIN_BITS_FTH"
SWT_EINTRAG : 0906 "ANZ_SCHALTAUFFORDERUNG"
SWT_EINTRAG : 1321 "ANZ_SCHEIBEN_AB"
SWT_EINTRAG : 1322 "ANZ_SCHEIBEN_AB_KOMPL"
SWT_EINTRAG : 0A7E "ANZAHL_HALLIMP_HOEHE"
SWT_EINTRAG : 0A7F "ANZAHL_HALLIMP_LAENGE"
SWT_EINTRAG : 0612 "ANZAHL_RAEDER_UEBERWACHT"
SWT_EINTRAG : 0611 "ANZAHL_RDC_RAEDER_VERBAUT"
SWT_EINTRAG : 0356 "ANZAHL_WANDLER"
SWT_EINTRAG : 08F8 "ANZEIGE_VSET_DIGITAL"
SWT_EINTRAG : 08E9 "APPL_GEWICHT"
SWT_EINTRAG : 0947 "APPLIK_NACHRICHTEN"
SWT_EINTRAG : 000A "AQ_AUSBLEND_X1"
SWT_EINTRAG : 1398 "AQ_BANDPASS_D"
SWT_EINTRAG : 12DA "AQ_BANDPASS_FG"
SWT_EINTRAG : 001D "AQ_LERN_V"
SWT_EINTRAG : 0038 "AQ_SCHALT"
SWT_EINTRAG : 1399 "AQ_SCHALT_12"
SWT_EINTRAG : 0D63 "AQ_SENSACK_RES_MAX"
